Hotel_name,Date,Price,Client,Rating,Grade,Address,Day
서머셋 제주신화월드,2023-07-26,605045,1,8.6,5,"서귀포, 대한민국",수
히든 클리프 호텔&네이쳐,2023-07-26,260000,1,8.3,5,"서귀포, 대한민국",수
해비치 호텔 & 리조트,2023-07-26,450000,1,8.6,5,"서귀포, 대한민국",수
엠버퓨어힐호텔&리조트,2023-07-26,371901,1,9.2,5,"제주, 대한민국",수
신화관 제주신화월드 호텔앤리조트,2023-07-26,344355,1,8.3,5,"서귀포, 대한민국",수
유탑 유블레스호텔,2023-07-26,150545,1,8.0,4,"제주, 대한민국",수
캠퍼트리 호텔 앤 리조트,2023-07-26,140579,1,8.4,4,"제주, 대한민국",수
한림리조트,2023-07-26,186255,1,8.8,4,"제주, 대한민국",수
그라벨 호텔,2023-07-26,111271,1,8.1,3,"제주, 대한민국",수
호텔 케니 서귀포,2023-07-26,28853,1,8.1,4,"서귀포, 대한민국",수
브라운 스위트 제주,2023-07-26,50883,1,7.3,5,"서귀포, 대한민국",수
메리어트관 제주신화월드 호텔앤리조트,2023-07-26,267300,1,8.4,4,"서귀포, 대한민국",수
호텔 난타,2023-07-26,68470,1,8.6,4,"제주, 대한민국",수
서귀포 JS호텔,2023-07-26,54515,1,8.4,3,"서귀포, 대한민국",수
스타즈 호텔 제주 로베로점,2023-07-26,35784,1,8.0,4,"제주, 대한민국",수
제주 디 아일랜드 블루 호텔,2023-07-26,59500,1,8.1,4,"서귀포, 대한민국",수
WE호텔 제주,2023-07-26,240640,1,8.5,5,"서귀포, 대한민국",수
라온 호텔 앤 리조트,2023-07-26,67382,1,6.8,4,"제주, 대한민국",수
엠스테이 호텔 제주,2023-07-26,45069,1,7.8,4,"서귀포, 대한민국",수
호텔 샬롬 제주,2023-07-26,44666,1,7.9,5,"제주, 대한민국",수
호텔 토스카나,2023-07-26,277686,1,9.0,4,"서귀포, 대한민국",수
오션스위츠 제주 호텔,2023-07-26,86569,1,8.1,4,"제주, 대한민국",수
아시아호텔,2023-07-26,47106,1,8.4,5,"제주, 대한민국",수
글로스터 호텔 제주,2023-07-26,72364,1,8.3,3,"제주, 대한민국",수
스위트 호텔 제주,2023-07-26,171269,1,8.3,3,"서귀포, 대한민국",수
레슬리 호텔,2023-07-26,46500,1,7.8,4,"제주, 대한민국",수
켄싱턴리조트 서귀포,2023-07-26,214050,1,8.1,4,"서귀포, 대한민국",수
제주 항공우주 호텔,2023-07-26,69091,1,8.4,4,"서귀포, 대한민국",수
유니호텔 제주,2023-07-26,98264,1,7.7,4,"제주, 대한민국",수
금호 제주 리조트,2023-07-26,141217,1,7.4,4,"서귀포, 대한민국",수
신신호텔 제주공항,2023-07-26,38836,1,7.6,4,"제주, 대한민국",수
제주 센트럴시티호텔,2023-07-26,61610,1,7.7,3,"제주, 대한민국",수
롯데 호텔 제주,2023-07-26,500000,2,8.8,5,"서귀포, 대한민국",수
라마다 제주 시티 호텔,2023-07-26,76186,2,8.1,4,"제주, 대한민국",수
파르나스 호텔 제주,2023-07-26,620000,2,9.2,5,"서귀포, 대한민국",수
베스트웨스턴 제주호텔,2023-07-26,65689,2,7.6,4,"제주, 대한민국",수
랜딩관 제주신화월드 호텔앤리조트,2023-07-26,194727,2,8.3,5,"서귀포, 대한민국",수
메종 글래드 제주,2023-07-26,114436,2,8.1,5,"제주, 대한민국",수
에코랜드 호텔,2023-07-26,344213,2,8.6,5,"제주, 대한민국",수
제주 신라 호텔,2023-07-26,496548,2,9.0,5,"서귀포, 대한민국",수
라마다 프라자 제주 호텔,2023-07-26,181818,2,8.2,5,"제주, 대한민국",수
그랜드 하얏트 제주,2023-07-26,427998,2,8.8,5,"제주, 대한민국",수
신라스테이 제주,2023-07-26,113850,2,8.0,4,"제주, 대한민국",수
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,2023-07-26,88055,2,7.7,4,"제주, 대한민국",수
호텔 브릿지 서귀포,2023-07-26,83471,2,8.0,4,"서귀포, 대한민국",수
제주 부영 호텔&리조트,2023-07-26,180992,2,9.1,5,"서귀포, 대한민국",수
휘닉스 제주 섭지코지,2023-07-26,345454,2,7.8,4,"서귀포, 대한민국",수
탐라스테이 호텔 제주,2023-07-26,92752,2,7.7,4,"제주, 대한민국",수
더 베스트 제주 성산,2023-07-26,48348,2,7.9,4,"서귀포, 대한민국",수
호텔 리젠트 마린 더 블루,2023-07-26,113843,2,8.2,4,"제주, 대한민국",수
그랜드 조선 제주,2023-07-26,425000,2,8.9,5,"서귀포, 대한민국",수
롯데시티호텔 제주,2023-07-26,176786,2,8.5,4,"제주, 대한민국",수
더 그랜드 섬오름,2023-07-26,170000,2,8.3,3,"서귀포, 대한민국",수
더큐브 리조트 제주,2023-07-26,78383,2,8.2,4,"서귀포, 대한민국",수
코델리아 S 호텔,2023-07-26,33058,2,7.6,3,"서귀포, 대한민국",수
서머셋 제주신화월드,2023-07-26,605045,2,8.6,5,"서귀포, 대한민국",수
히든 클리프 호텔&네이쳐,2023-07-26,260000,2,8.3,5,"서귀포, 대한민국",수
해비치 호텔 & 리조트,2023-07-26,450000,2,8.6,5,"서귀포, 대한민국",수
엠버퓨어힐호텔&리조트,2023-07-26,371901,2,9.2,5,"제주, 대한민국",수
신화관 제주신화월드 호텔앤리조트,2023-07-26,344355,2,8.3,5,"서귀포, 대한민국",수
유탑 유블레스호텔,2023-07-26,150545,2,8.0,4,"제주, 대한민국",수
캠퍼트리 호텔 앤 리조트,2023-07-26,140579,2,8.4,4,"제주, 대한민국",수
한림리조트,2023-07-26,186255,2,8.8,4,"제주, 대한민국",수
그라벨 호텔,2023-07-26,111271,2,8.1,3,"제주, 대한민국",수
호텔 케니 서귀포,2023-07-26,33408,2,8.1,4,"서귀포, 대한민국",수
브라운 스위트 제주,2023-07-26,50883,2,7.3,5,"서귀포, 대한민국",수
메리어트관 제주신화월드 호텔앤리조트,2023-07-26,267300,2,8.4,4,"서귀포, 대한민국",수
호텔 난타,2023-07-26,68470,2,8.6,4,"제주, 대한민국",수
서귀포 JS호텔,2023-07-26,54515,2,8.4,3,"서귀포, 대한민국",수
스타즈 호텔 제주 로베로점,2023-07-26,35784,2,8.0,4,"제주, 대한민국",수
제주 디 아일랜드 블루 호텔,2023-07-26,59500,2,8.1,4,"서귀포, 대한민국",수
