Hotel_name,Date,Price,Client,Rating,Grade,Address
스위트 호텔 제주,07.25.Tue,171269,2,8.3,3,"서귀포, 대한민국"
레슬리 호텔,07.25.Tue,46500,2,7.8,4,"제주, 대한민국"
켄싱턴리조트 서귀포,07.25.Tue,214050,2,8.1,4,"서귀포, 대한민국"
제주 항공우주 호텔,07.25.Tue,69091,2,8.4,4,"서귀포, 대한민국"
유니호텔 제주,07.25.Tue,98264,2,7.7,4,"제주, 대한민국"
금호 제주 리조트,07.25.Tue,141217,2,7.4,4,"서귀포, 대한민국"
신신호텔 제주공항,07.25.Tue,41715,2,7.6,4,"제주, 대한민국"
제주 센트럴시티호텔,07.25.Tue,61610,2,7.7,3,"제주, 대한민국"
플레이스 캠프 제주,07.25.Tue,39790,2,8.3,등급 정보 없음,"서귀포, 대한민국"
담모라 리조트,07.25.Tue,38799,2,7.3,등급 정보 없음,"서귀포, 대한민국"
신신호텔 제주월드컵,07.25.Tue,29080,2,7.7,4,"서귀포, 대한민국"
퍼스트70 호텔,07.25.Tue,41234,2,8.1,4,"서귀포, 대한민국"
호텔 케니 모슬포,07.25.Tue,40514,2,8.4,3,"서귀포, 대한민국"
제주 웨스턴 그레이스 호텔,07.25.Tue,31716,2,8.4,3,"서귀포, 대한민국"
포도 호텔,07.25.Tue,974925,2,8.8,4,"서귀포, 대한민국"
신신호텔 서귀포,07.25.Tue,30584,2,8.0,4,"서귀포, 대한민국"
골든데이지 서귀포오션 호텔,07.25.Tue,31799,2,7.9,5,"서귀포, 대한민국"
서귀포 칼 호텔,07.25.Tue,113802,2,8.2,4,"서귀포, 대한민국"
호텔 위드 제주,07.25.Tue,58055,2,8.0,4,"제주, 대한민국"
소노캄 제주,07.25.Tue,200827,2,7.5,2,"서귀포, 대한민국"
애월 스테이 인 제주,07.25.Tue,63405,2,8.6,5,"제주, 대한민국"
벨룸 리조트,07.25.Tue,333304,2,8.8,3,"서귀포, 대한민국"
호텔더그랑 서귀포,07.25.Tue,76500,2,10.0,3,"서귀포, 대한민국"
흰수염 고래 리조트,07.25.Tue,235388,2,8.5,4,"제주, 대한민국"
코업시티호텔 성산,07.25.Tue,55881,2,7.9,4,"서귀포, 대한민국"
그랜드 밀리언스호텔 서귀포,07.25.Tue,27272,2,8.3,4,"서귀포, 대한민국"
위드스테이호텔,07.25.Tue,49441,2,8.7,3,"제주, 대한민국"
헤이 서귀포,07.25.Tue,43407,2,7.9,4,"서귀포, 대한민국"
함덕비치스테이제주,07.25.Tue,91240,2,8.2,등급 정보 없음,"제주, 대한민국"
호텔에어시티,07.25.Tue,55680,2,7.9,등급 정보 없음,"제주, 대한민국"
아스타 호텔,07.25.Tue,69141,2,8.4,4,"제주, 대한민국"
샐리스 제주 호텔,07.25.Tue,102465,2,7.2,3,"제주, 대한민국"
롯데 리조트 아트 빌라스,07.25.Tue,715909,2,8.1,4,"서귀포, 대한민국"
소노벨 제주,07.25.Tue,235759,2,7.9,3,"제주, 대한민국"
스카이 호텔,07.25.Tue,49238,2,8.0,4,"제주, 대한민국"
호텔 화인 제주,07.25.Tue,60529,2,9.2,5,"서귀포, 대한민국"
위드시티호텔,07.25.Tue,51317,2,7.2,3,"제주, 대한민국"
제주 썬호텔,07.25.Tue,114545,2,8.8,3,"제주, 대한민국"
머큐어 앰배서더 제주,07.25.Tue,236549,2,8.5,3,"서귀포, 대한민국"
루체빌,07.25.Tue,111870,2,8.4,3,"서귀포, 대한민국"
프리뮬러 호텔 (구 산방산 호텔),07.25.Tue,64916,2,8.5,4,"서귀포, 대한민국"
제주 아이브 리조트,07.25.Tue,75131,2,7.9,4,"서귀포, 대한민국"
베니키아 호텔 제주,07.25.Tue,39574,2,7.5,4,"제주, 대한민국"
제주 부영 리조트,07.25.Tue,246281,2,8.7,3,"서귀포, 대한민국"
기린빌라리조트 제주,07.25.Tue,278512,2,9.0,3,"서귀포, 대한민국"
벤티모 호텔 앤 레지던스 제주,07.25.Tue,84579,2,9.0,4,"제주, 대한민국"
