Hotel_name,Date,Price,Client,Rating,Grade,Address
오션스위츠 제주 호텔,07.26.Wed,86569,1,8.1,4,"제주, 대한민국"
아시아호텔,07.26.Wed,47106,1,8.4,5,"제주, 대한민국"
글로스터 호텔 제주,07.26.Wed,72364,1,8.3,3,"제주, 대한민국"
스위트 호텔 제주,07.26.Wed,171269,1,8.3,3,"서귀포, 대한민국"
레슬리 호텔,07.26.Wed,46500,1,7.8,4,"제주, 대한민국"
켄싱턴리조트 서귀포,07.26.Wed,214050,1,8.1,4,"서귀포, 대한민국"
제주 항공우주 호텔,07.26.Wed,69091,1,8.4,4,"서귀포, 대한민국"
유니호텔 제주,07.26.Wed,98264,1,7.7,4,"제주, 대한민국"
금호 제주 리조트,07.26.Wed,141217,1,7.4,4,"서귀포, 대한민국"
신신호텔 제주공항,07.26.Wed,38836,1,7.6,4,"제주, 대한민국"
제주 센트럴시티호텔,07.26.Wed,61610,1,7.7,3,"제주, 대한민국"
플레이스 캠프 제주,07.26.Wed,39790,1,8.3,등급 정보 없음,"서귀포, 대한민국"
담모라 리조트,07.26.Wed,38799,1,7.3,등급 정보 없음,"서귀포, 대한민국"
롯데 호텔 제주,07.26.Wed,500000,2,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,07.26.Wed,76186,2,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,07.26.Wed,620000,2,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,07.26.Wed,65689,2,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,07.26.Wed,194727,2,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,07.26.Wed,114436,2,8.1,5,"제주, 대한민국"
에코랜드 호텔,07.26.Wed,344213,2,8.6,5,"제주, 대한민국"
제주 신라 호텔,07.26.Wed,496548,2,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,07.26.Wed,181818,2,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,07.26.Wed,427998,2,8.8,5,"제주, 대한민국"
신라스테이 제주,07.26.Wed,113850,2,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,07.26.Wed,88055,2,7.7,4,"제주, 대한민국"
호텔 브릿지 서귀포,07.26.Wed,83471,2,8.0,4,"서귀포, 대한민국"
